timestep,result
12000,-518.2366545200348
24000,-689.78232473135
36000,-1069.2047764658928
48000,-1550.2083550691605
60000,-920.0862826108932
72000,-1112.3133692741394
84000,-1364.9541451931
96000,-561.8638024926186
108000,-934.645285487175
120000,-431.3833835721016
132000,-1424.1583479642868
144000,-611.4826184511185
156000,-661.9352459311485
168000,-674.0021427869797
180000,-888.8800957202911
192000,-671.9195685386658
204000,-512.3512529730797
216000,-486.53069335222244
228000,-282.0930389761925
240000,-722.2213132381439
252000,-649.7768082022667
264000,-432.59045284986496
276000,-904.4331918954849
288000,-541.2369762063026
300000,-592.0977004766464
312000,-592.8732329010963
324000,-517.4204470515251
336000,-652.5778208374977
348000,-567.563363134861
360000,-528.3623524308205
372000,-609.1765590310097
384000,-645.053693830967
396000,-805.6114677190781
408000,-583.5242894291878
420000,-564.3746861815453
432000,-577.1849299669266
444000,-467.44348657131195
456000,-739.5136345624924
468000,-475.3016864657402
480000,-609.2430686354637
492000,-708.8613149523735
504000,-617.1618080735207
516000,-459.2915793657303
528000,-536.9959552288055
540000,-590.7873678207397
552000,-546.7919870615005
564000,-477.3281908631325
576000,-250.73661591112614
588000,-555.4322270751
600000,-534.9935129284859
612000,-625.3560963273048
624000,-554.3874757289886
636000,-604.155028283596
648000,-640.5395370125771
660000,-529.8136662244797
672000,-376.47910495102406
684000,-631.5127574801445
696000,-409.71912956237793
708000,-576.361085653305
720000,-616.4565650224686
732000,-612.5570724010468
744000,-578.1290892958641
756000,-587.2872064709663
768000,-492.49942177534103
780000,-305.3464567363262
792000,-556.7521694004536
804000,-390.2920916080475
816000,-371.7706642523408
828000,-628.8121678829193
840000,-540.3769659996033
852000,-315.2025408297777
864000,-711.693300485611
876000,-618.4584191441536
888000,-721.0506998896599
900000,-638.8388034105301
912000,-260.377625182271
924000,-460.0126134455204
936000,-93.81483263522387
948000,-381.7155690193176
960000,-108.71759421005845
972000,-682.4785998463631
984000,-785.760213136673
996000,-495.6982608139515
1008000,-598.4538247585297
1020000,-604.8927128314972
1032000,-658.261883020401
1044000,-686.0155296325684
1056000,-578.4987965226173
1068000,-706.6882616281509
1080000,-552.3168985247612
1092000,-541.8265773057938
1104000,-646.62446808815
1116000,-643.4494380950928
1128000,-410.4659877792001
1140000,-570.7562490701675
1152000,-523.1219594478607
1164000,-548.764710009098
1176000,-603.9249777197838
1188000,-781.0041691064835
1200000,-810.4393734931946
1212000,-834.1753886342049
1224000,-673.0784208774567
1236000,-52.64297207444906
1248000,-469.7507132291794
1260000,-22.528229422867298
1272000,-505.18880918622017
1284000,-431.9581450223923
1296000,-595.5886640548706
1308000,-699.1333355307579
1320000,-628.3618181347847
1332000,-279.56510254740715
1344000,-753.9231756925583
1356000,-546.0224984884262
1368000,-645.1695767641068
1380000,-61.413076519966125
1392000,-578.4224342703819
1404000,-305.7239405065775
1416000,-788.9452106952667
1428000,-481.72153101861477
1440000,-430.34470495581627
1452000,-261.9682221263647
1464000,-583.3022174835205
1476000,-195.62851690873504
1488000,-51.43563773483038
1500000,-270.3624340854585
1512000,-58.882591642439365
1524000,-394.4944770038128
1536000,-508.44577246904373
1548000,-283.7571479715407
1560000,-446.93322444707155
1572000,-583.3307989835739
1584000,-602.9825329184532
1596000,-334.021104156971
